,decision_id,decision_description,contract_id,contract_description
1,D. 360/2009.,nyíregyháza és térsége szennyvízelvezetési és szennyvíztisztítási programja – ii. sz. szennyvíztisztító telep fejlesztése és központi komposztáló telep fejlesztése és központi komposztáló telep tervezése és építése,450377,"soproni régió csatornázási és szennyvíztisztítási program, kiegészítő beruházások"
2,D. 363/2009.,természettudományi és műszaki képzés infrastruktúrájának fejlesztése című tiop 1.3.1-07/2/2f-2009-0001. sz. európai uniós projekt keretén belül megvalósuló beruházások műszaki lebonyolítására,455901,"a debreceni egyetem tiop 1.3.1/07/01. sz., természettudományi és műszaki képzés infrastruktúrájának fejlesztése című projekt keretében megvalósítandó beruházások tervezése"
3,D. 376/2009.,"debrecen város és térsége szennyvízelvezetése és tisztítása 3. sz. szerződéses egység, debreceni egyesített rendszerű csatorna szétválasztása, ka projekt 2003/hu/16/p/pe/020",450155,debrecen és térsége szennyvízelvezetése és tisztítása  lot3: debreceni egyesített rendszerű csatorna szétválasztása
4,D. 377/2009.,természettudományi és műszaki képzés infrastruktúrájának fejlesztése c. tiop 1.3.1-07/2/2f-2009-0001. sz. eu-s projekt keretében megvalósuló beruházások fővállalkozásban történő kivitelezése a műszaki kar területén,455901,"a debreceni egyetem tiop 1.3.1/07/01. sz., természettudományi és műszaki képzés infrastruktúrájának fejlesztése című projekt keretében megvalósítandó beruházások tervezése"
5,D. 381/2009.,érd erzsébetváros vízrendezése,453613,szennyvízcsatorna-tervezés
6,D. 386/2009.,a családtámogatási ellátások folyósításának korszerűsítése – téba projekt,450338,központi elektronikus fizetési és elszámolási rendszer (efer) kialakítása
7,D. 417/2009.,"szombathely mjv ph és az irányítása alá tartozó gazdálkodó intézményeknek nyújtandó számlavezetési, pénzforgalom lebonyolítási és egyéb banki szolgáltatási bankszámla szerződés, folyószámla hitelszerződés, hosszú lejáratú hitelkeretszerződés",452515,fejlesztési hitelszerződés
8,D. 426/2009. ,budaörs városi uszoda- és sportcsarnok befejezési munkálatai öt részben történő megvalósítása,448186,"budaörs kis szilvásra vonatkozó helyi építési szabályzat, szabályozási terv készítése"
9,D. 433/2009. ,"debrecen város és térsége szennyvízelvezetése és tisztítása 3. sz. szerződéses egység, debreceni egyesített rendszerű csatorna szétválasztása, ka projekt 2003/hu/16/p/pe/020",450155,debrecen és térsége szennyvízelvezetése és tisztítása  lot3: debreceni egyesített rendszerű csatorna szétválasztása
10,D. 443/2009.,"ajánlatkérő részére különféle orvosi gázok szállítása, az ajánlati dokumentációban részletezettek szerint",442740,"különféle laboratóriumi reagensek szállítása és az ahhoz szükséges kontrollok, kalibrátorok, rendszeroldatok és speciális fogyóanyagok szállítása"
11,D. 445/2009.,"az ajánlatkérő használatában lévő, az ajánlattevő által fejlesztett, a magyarországi nagynyomású együttműködő földgázszállító rendszer irányítási feladatait ellátó, otr 3 (scada) folyamatirányító rendszerszoftver továbbfejlesztése 2009",455958,"az ajánlatkérő használatában lévő, az ajánlattevő által fejlesztett otr 3 (scada) rendszer szoftver továbbfejlesztése a dokumentációban meghatározott követelményeknek megfelelően - eredmény"
12,D. 446/2009. ,szombathelyi történelmi-régészeti városrész kialakítása ii. ütem – az iseum rekonstrukciója: az iseum rekonstrukció építési kivitelezési munkái,455995,tatabánya szent istván út rekonstrukciója i. ütem
13,D. 449/2009.,sebészeti varróanyagok beszerzése,448689,háztartási gépek beszerzése
14,D. 451/2009.,"új gépjárművek tartós bérletére, teljes körű flottaüzemeltetésre, kapcsolódó gépjármű-nyilvántartó szoftverműködtetésre és az ajánlatkérő használt gépjárműveinek felvásárlására, beszámítására is kiterjedő bérleti és flottakezelési szerződés",449856,"a forrás sql integrált ügyviteli szoftverrendszer 6 moduljának beszerzése, rendszerbe illesztése, illetve a kapcsolódó bevezetési és rendszerkövetési szolgáltatások igénybevétele"
15,D. 452/2009.,"oktatási és továbbképzési, valamint szakértői szaktanácsadói szolgáltatás, az ajánlattételi felhívásban meghatározott mennyiségben",448714,"pécsi konferencia- és koncertközpont kivitelezése, valamint a szükséges kiviteli terv elkészítése"
16,D. 455/2009.,"budapesti központi szennyvíztisztító telep ka projekt új pss építési beruházások műszaki ellenőri/fidic mérnök feladatok ellátása, átemelő telepek záporoldali átépítése, tehermentesítő gyűjtőcsat. kivit. munkáinak kommun., tájékozt. és pr tevékenység ",454498,tervellenőrzési és műszaki ellenőri feladatok ellátása
17,D. 457/2009. ,elektronikus áfa visszatérítési rendszerhez kapcsolódón oracle szakértői fejlesztés/fejlesztés támogatás legfeljebb 950 embernapra,453352,apeh meghatározott adóügyek intézésére alkalmas contact center beszerzése tárgyú közb-99.005/2009. tárgyú hirdetmény nélküli tárgyalásos közbeszerzési eljárás
18,D. 472/2009. ,baranya megyei mezőgazdasági szakigazgatási hivatal telephelyein takarítási feladatok ellátása vállalkozási szerződés keretében,451004,"takarítási, ebédkiosztói és mosatási,valamint őrzés-védelmi feladatok ellátása"
19,D. 474/2009.,"vi. ker. terézváros önkormányzata közigazgatási területén lévő, az önkormányzat tulajdonában lévő közterületi, fizető parkolóhely céljára kijelölt várakozóhelyek parkolás-gazdálkodási rendszerben történő üzemeltetése",449700,"vállalkozási szerződés keretében a budapest xiv. kerület jókai mór általános iskolában kéményfelújítás, kazáncsere és a fűtési rendszer rekonstrukciójának megkezdése"
20,D. 475/2009.,az országos gyorsforgalmi és főúthálózat nagytávú terve és hosszú távú fejlesztési programja c. megalapozó vizsgálat 2. fázisa,453776,"országos közúthálózati hálózatfejlesztési vizsgálatok, döntéselőkészítési tanulmányok, gazdaságossági vizsgálatok és  biztonsági auditok -keretmegállapodás alapján kötött szerződések"
21,D. 490/2009.,lukácsházi tározó építése,448832,lukácsházi tározó építése.
22,D. 491/2009. ,"székesfehérvár területén parkfenntartási, növényvédelmi munkák elvégzése, virágágyak beültetése, fenntartási munkáinak ellátása",451732,"székesfehérvár, belterületi útjainak fenntartása tárgyában indított közbeszerzési eljárás eredményéről tájékoztató"
25,D. 517/2009.,"a millenáris területén 2010. május 7-13. között megrendezendő „input konferencia” című rendezvényhez kapcsolódó helyszín, illetve a rendezvény lebonyolításához kapcsolódó egyéb szolgáltatások biztosítása",450591,"az mtv zrt. gépjármű flotta biztosítása, kezelése és kapcsolódó szolgáltatások"
26,D. 529/2009.,"ddop-2007-3-1-2./2f integrált kis- és mikrotérségi okt. hálózatok és közp. fejleszt. pály. kiíráshoz, ddop-3.1.3/a-2008-0009 szoc., gyermekjóléti és eü-i központ létrehozása a böhönyei mikrotérségben pály. kiíráshoz kapcs. műszaki ellenőri fel. ellát.",449355,rop. keretében ddop-2007-3-1-2/2f integrált kis- mikrotérségi oktatási hálózatok és központjaik fejlesztése pályázati kiíráshoz kapcsolódó engedélyezési és kiviteli tervek készítése tervezési szerződés keretében
27,D. 530/2009.,"kispest című önkormányzati tájékoztató lap nyomdai kivitelezése, vállalkozási szerződés keretében",446846,"„wekerlei gyermekház” meglévő földszint + magastetős épületének átalakítására, tetőtér beépítésére vonatkozó kiviteli tervek elkészítése” eljárásban megkötöt tevezési szerződés módosítása"
28,D. 583/2009.,élelmiszer beszerzés,19200,élelmiszer beszerzés
29,D. 643/2009.,pándy kálmán megyei kórház patológiai osztály épületének kivitelezése gépészeti tartalommal és beépített orvos-technológiával,449308,pándy kálmán megyei kórház patológiai osztály kiviteli terveinek elkészítése.
30,D. 644/2009,"hajdúhadház és téglás város önkormányzati tulajdonú viziközműveinek (ivóvízhálózat, szennyvízcsatorna hálózat, szennyvíz átemelők, szennyvíztisztító telep) bérüzemeltetése",450579,nap utca északi rész meglévő csapadékvíz-elvezető csatorna rekonstrukciója
31,D. 681/2009,kecskeméti agglomeráció szennyvízelvezetési és tisztítási kis-ispa program - csatornafejlesztések építési beruházás megvalósítása ,450377,"soproni régió csatornázási és szennyvíztisztítási program, kiegészítő beruházások"
32,D. 720/2009-714/2009.,komplex fejlesztés a dinamikus és fenntartható közösségi közlekedésért sopronban,443325,sopron - komplex fejlesztés
33,D. 721/2009.,i. rész: pr és kommunikációs feladatok ellátására az eszterháza közép-európai kulturális közp. i. fejl. ütem projekttel kapcs. ii. rész: pr és kommunikációs fel. ellátása a kastélysziget kulturális-turisztikai központ edelény projekttel kapcs.,447086,eszterháza közép-európai kultúrális központ i. ütem projekttel kapcsolatos restaurálási tevékenység
34,D. 732/2009.,"borsodnádasdi általános iskola felújítása és energiatakarékossá tétele, a létesülő óvodaépület infrastruktúrális beruházása, valamint a konyhaépület felújítása",436013,"dabas, bartók béla út és vörösmarty út csatlakozásában létesülő körforgalmi csomópont kiviteli terveinek elkészítése (tájékoztató az eljárás eredményéről)"
